,article_id,comments,published,title,type,url
3878,739762.0,0.0,2017-01-12,Schüler baut Sprengfallen für Drogenlager im Kinderzimmer,newswire,http://www.tageswoche.ch/de/2017_2/international/739762/schueler-baut-sprengfallen-fuer-drogenlager-im-kinderzimmer.htm
3879,739763.0,0.0,2017-01-12,Trumps Verteidigungsminister kritisiert vor Kongress Russland,newswire,http://www.tageswoche.ch/de/2017_2/international/739763/trumps-verteidigungsminister-kritisiert-vor-kongress-russland.htm
3880,739764.0,0.0,2017-01-12,Drei Verletzte bei Auffahrkollision in Liestal,newswire,http://www.tageswoche.ch/de/2017_2/basel/739764/drei-verletzte-bei-auffahrkollision-in-liestal.htm
3881,739765.0,0.0,2017-01-12,Kein Exploit der Schweizer Frauen-Staffel,newswire,http://www.tageswoche.ch/de/2017_2/sport/739765/kein-exploit-der-schweizer-frauen-staffel.htm
3882,739766.0,0.0,2017-01-12,Wechselstubenangestellter beraubt den eigenen Betrieb,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739766/wechselstubenangestellter-beraubt-den-eigenen-betrieb.htm
3883,739767.0,0.0,2017-01-12,Human Rights Watch: Populismus lässt Menschenrechte auf der Strecke,newswire,http://www.tageswoche.ch/de/2017_2/international/739767/human-rights-watch-populismus-laesst-menschenrechte-auf-der-strecke.htm
3884,739768.0,0.0,2017-01-12,Neuer Verteidiger für Babbels Luzern,newswire,http://www.tageswoche.ch/de/2017_2/sport/739768/neuer-verteidiger-fuer-babbels-luzern.htm
3885,739769.0,0.0,2017-01-12,Flughafen Zürich 2016 mit fast 30 Millionen Passagieren,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739769/flughafen-zuerich-2016-mit-fast-30-millionen-passagieren.htm
3886,739770.0,0.0,2017-01-12,"Ivica Kostelic: zu grosse Schmerzen, zu wenig Spass",newswire,http://www.tageswoche.ch/de/2017_2/sport/739770/ivica-kostelic-zu-grosse-schmerzen-zu-wenig-spass.htm
3887,739771.0,0.0,2017-01-12,Bewährungsstrafe für Kamerafrau nach Tritten gegen Flüchtlinge,newswire,http://www.tageswoche.ch/de/2017_2/international/739771/bewaehrungsstrafe-fuer-kamerafrau-nach-tritten-gegen-fluechtlinge.htm
3888,739772.0,0.0,2017-01-12,Drei Chinesinnen verlieren Olympia-Gold von 2008,newswire,http://www.tageswoche.ch/de/2017_2/sport/739772/drei-chinesinnen-verlieren-olympia-gold-von-2008.htm
3889,739773.0,0.0,2017-01-12,Zahl der weltweit Arbeitslosen steigt auf über 200 Millionen,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739773/zahl-der-weltweit-arbeitslosen-steigt-auf-ueber-200-millionen.htm
3890,739776.0,0.0,2017-01-12,Französische Sozialisten debattieren über Wirtschaft und Steuern,newswire,http://www.tageswoche.ch/de/2017_2/international/739776/franzoesische-sozialisten-debattieren-ueber-wirtschaft-und-steuern.htm
3891,739777.0,0.0,2017-01-12,Nur fast ein Schweizer Sieger am CSI Basel,newswire,http://www.tageswoche.ch/de/2017_2/sport/739777/nur-fast-ein-schweizer-sieger-am-csi-basel.htm
3892,739778.0,0.0,2017-01-12,Freiheitsmedaille für Vize: Obama rührt Biden zu Tränen,newswire,http://www.tageswoche.ch/de/2017_2/international/739778/freiheitsmedaille-fuer-vize-obama-ruehrt-biden-zu-traenen.htm
3893,739779.0,0.0,2017-01-13,Proteste in Lima gegen Gebühr für Pendelverkehr,newswire,http://www.tageswoche.ch/de/2017_2/international/739779/proteste-in-lima-gegen-gebuehr-fuer-pendelverkehr.htm
3894,739780.0,0.0,2017-01-13,Ankara: Russland akzeptiert Teilnahme der USA an Syrien-Gesprächen,newswire,http://www.tageswoche.ch/de/2017_2/international/739780/ankara-russland-akzeptiert-teilnahme-der-usa-an-syrien-gespraechen.htm
3895,739781.0,0.0,2017-01-13,Staatsmedien: Explosionen auf Militärflughafen in Damaskus,newswire,http://www.tageswoche.ch/de/2017_2/international/739781/staatsmedien-explosionen-auf-militaerflughafen-in-damaskus.htm
3896,739782.0,0.0,2017-01-13,Federer am Australian Open mit Losglück,newswire,http://www.tageswoche.ch/de/2017_2/sport/739782/federer-am-australian-open-mit-losglueck.htm
3897,739785.0,0.0,2017-01-13,USA beendet Einreiseregelung für kubanische Bootsflüchtlinge,newswire,http://www.tageswoche.ch/de/2017_2/international/739785/usa-beendet-einreiseregelung-fuer-kubanische-bootsfluechtlinge.htm
