,article_id,published,title,type,url
0,385678.0,2012-02-07,Das Wunder der Welt in lyrischer Form,news,http://www.tageswoche.ch/de/2012_05/kultur/385678/das-wunder-der-welt-in-lyrischer-form.htm
0,386351.0,2012-02-10,Sieg der Biedermänner,news,http://www.tageswoche.ch/de/2012_06/basel/386351/sieg-der-biedermaenner.htm
0,386363.0,2012-02-10,Ein unermüdlicher Kampf für die eigene Sprache,news,http://www.tageswoche.ch/de/2012_06/basel/386363/ein-unermuedlicher-kampf-fuer-die-eigene-sprache.htm
0,386832.0,2012-02-08,"«Langsam gehts wieder, danke»",news,http://www.tageswoche.ch/de/2012_05/kultur/386832/langsam-gehts-wieder-danke.htm
0,386834.0,2012-02-09,Mit leerem Portemonnaie im Kinosaal,news,http://www.tageswoche.ch/de/2012_05/kultur/386834/mit-leerem-portemonnaie-im-kinosaal.htm
0,387271.0,2012-02-10,Teure Notschlafstelle für Auswärtige,news,http://www.tageswoche.ch/de/2012_06/basel/387271/teure-notschlafstelle-fuer-auswaertige.htm
0,387328.0,2012-02-17,Gefordert: Celine Albisser,news,http://www.tageswoche.ch/de/2012_07/basel/387328/gefordert-celine-albisser.htm
0,387355.0,2012-02-10,"«Sie sind ja so negativ, das ist ja schrecklich!» ",news,http://www.tageswoche.ch/de/2012_06/kultur/387355/sie-sind-ja-so-negativ-das-ist-ja-schrecklich.htm
0,387675.0,2012-02-17,Let’s Swing!,news,http://www.tageswoche.ch/de/2012_07/basel/387675/let-s-swing.htm
0,387691.0,2012-02-17,Wie eine Maschine der Welt Dampf machte,news,http://www.tageswoche.ch/de/2012_07/international/387691/wie-eine-maschine-der-welt-dampf-machte.htm
0,389321.0,2012-02-17,Letztes Asylheim vor der Grenze,news,http://www.tageswoche.ch/de/2012_07/basel/389321/letztes-asylheim-vor-der-grenze.htm
0,389322.0,2012-02-17,«Wältklass!»,news,http://www.tageswoche.ch/de/2012_07/basel/389322/waeltklass.htm
0,389333.0,2012-02-17,Brandgefährliches Weil am Rhein,news,http://www.tageswoche.ch/de/2012_07/basel/389333/brandgefaehrliches-weil-am-rhein.htm
0,389818.0,2012-02-17,Kultwerk #17 Die Physiker,news,http://www.tageswoche.ch/de/2012_07/kultur/389818/kultwerk-17-die-physiker.htm
0,389819.0,2012-02-17,Ein Wochenende im Zürcher «Chreis Cheib»,news,http://www.tageswoche.ch/de/2012_07/agenda/389819/ein-wochenende-im-zuercher-chreis-cheib.htm
0,389845.0,2012-02-17,Kosovo on the rocks,news,http://www.tageswoche.ch/de/2012_07/international/389845/kosovo-on-the-rocks.htm
0,389853.0,2012-02-17,Ein kleines Winterparadies im meist schneefreien Laufen,news,http://www.tageswoche.ch/de/2012_07/basel/389853/ein-kleines-winterparadies-im-meist-schneefreien-laufen.htm
0,389856.0,2012-02-17,Man muss sich identifizieren,news,http://www.tageswoche.ch/de/2012_07/schweiz/389856/man-muss-sich-identifizieren.htm
0,390467.0,2012-02-17,"Rexhep Berisha, Bierkönig",news,http://www.tageswoche.ch/de/2012_07/schweiz/390467/rexhep-berisha-bierkoenig.htm
0,390468.0,2012-02-17,"Fatime Aliti, zu 100 Prozent Albanerin",news,http://www.tageswoche.ch/de/2012_07/schweiz/390468/fatime-aliti-zu-100-prozent-albanerin.htm
0,390522.0,2012-02-16,Wieviel Schweiz braucht «Swiss made»?,news,http://www.tageswoche.ch/de/2012_06/schweiz/390522/wieviel-schweiz-braucht-swiss-made.htm
0,390963.0,2012-02-24,«Wir sind manchmal ganz zweckfrei auf der Welt»,news,http://www.tageswoche.ch/de/2012_08/schweiz/390963/wir-sind-manchmal-ganz-zweckfrei-auf-der-welt.htm
0,390986.0,2012-02-24,Auf eine Intrige mit Herr und Frau Fasnacht,news,http://www.tageswoche.ch/de/2012_08/basel/390986/auf-eine-intrige-mit-herr-und-frau-fasnacht.htm
0,390991.0,2012-02-24,Mister Paradiesvogel,news,http://www.tageswoche.ch/de/2012_08/kultur/390991/mister-paradiesvogel.htm
0,392428.0,2012-02-24,Feindbild Thatcher,news,http://www.tageswoche.ch/de/2012_08/kultur/392428/feindbild-thatcher.htm
0,392438.0,2012-02-24,Was genau ist zum Wohl des Kindes?,news,http://www.tageswoche.ch/de/2012_08/basel/392438/was-genau-ist-zum-wohl-des-kindes.htm
