,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
3031,487196.0,2012-12-06,news,international/487196,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",international
3032,492425.0,2012-12-20,news,kultur/492425,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",kultur
3033,501481.0,2013-01-17,news,schweiz/501481,11.0,10.0,00:01:51,10.0,"70,00 %","72,73 %","0,00 CHF",schweiz
3034,504012.0,2013-01-24,news,schweiz/504012,11.0,8.0,00:04:29,8.0,"75,00 %","54,55 %","0,00 CHF",schweiz
3035,511624.0,2013-02-15,deb_moderator,debatte/511624,11.0,11.0,00:00:23,7.0,"85,71 %","90,91 %","0,00 CHF",debatte
3036,519001.0,2013-03-07,news,basel/519001,11.0,10.0,00:00:35,8.0,"100,00 %","72,73 %","0,00 CHF",basel
3037,521202.0,2013-03-14,news,basel/521202,11.0,11.0,00:00:00,10.0,"100,00 %","100,00 %","0,00 CHF",basel
3038,530669.0,2013-04-10,news,international/530669,11.0,9.0,00:06:51,9.0,"66,67 %","72,73 %","0,00 CHF",international
3039,531430.0,2013-04-18,news,basel/531430,11.0,11.0,00:06:23,11.0,"81,82 %","81,82 %","0,00 CHF",basel
3040,536425.0,2013-04-28,news,basel/536425,11.0,11.0,00:00:26,9.0,"88,89 %","90,91 %","0,00 CHF",basel
3041,539868.0,2013-05-09,news,schweiz/539868,11.0,11.0,00:00:02,10.0,"100,00 %","90,91 %","0,00 CHF",schweiz
3042,544202.0,2013-05-23,news,basel/544202,11.0,10.0,00:10:57,9.0,"77,78 %","72,73 %","0,00 CHF",basel
3043,545321.0,2013-05-25,news,basel/545321,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
3044,546905.0,2013-05-29,news,basel/546905,11.0,7.0,00:01:48,6.0,"33,33 %","54,55 %","0,00 CHF",basel
3045,548718.0,2013-06-04,news,basel/548718,11.0,10.0,00:00:09,10.0,"90,00 %","90,91 %","0,00 CHF",basel
3046,549273.0,2013-06-07,news,basel/549273,11.0,10.0,00:00:58,10.0,"80,00 %","81,82 %","0,00 CHF",basel
3047,548667.0,2013-06-10,news,kultur/548667,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",kultur
3048,552751.0,2013-06-18,news,kultur/552751,11.0,10.0,00:01:27,9.0,"88,89 %","72,73 %","0,00 CHF",kultur
3049,556142.0,2013-07-04,news,basel/556142,11.0,11.0,00:00:36,9.0,"88,89 %","81,82 %","0,00 CHF",basel
3050,563444.0,2013-07-26,news,basel/563444,11.0,10.0,00:00:02,10.0,"80,00 %","81,82 %","0,00 CHF",basel
3051,563643.0,2013-07-27,news,basel/563643,11.0,8.0,00:00:22,8.0,"62,50 %","72,73 %","0,00 CHF",basel
3052,564324.0,2013-07-31,news,sport/564324,11.0,11.0,00:03:19,11.0,"81,82 %","81,82 %","0,00 CHF",sport
3053,571710.0,2013-08-29,news,basel/571710,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
3054,576635.0,2013-09-06,news,basel/576635,11.0,10.0,00:01:06,7.0,"100,00 %","72,73 %","0,00 CHF",basel
3055,608044.0,2013-11-21,news,basel/608044,11.0,11.0,00:00:25,9.0,"100,00 %","90,91 %","0,00 CHF",basel
3056,608628.0,2013-11-26,news,kultur/608628,11.0,11.0,00:03:39,8.0,"75,00 %","72,73 %","0,00 CHF",kultur
