,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
232,321,12,2960,246.66666666666666,199.5,78,653,_Länder,Europa,Ukraine,,Ukraine
233,953,12,16872,1406.0,719.5,61,8301,Gesellschaft,Nachruf,,,Nachruf
234,555,12,22186,1848.8333333333333,731.0,118,10927,Kultur,Kinder,,,Kinder
235,485,12,6932,577.6666666666666,399.0,36,2379,Sport,Schach,,,Schach
236,873,12,24662,2055.1666666666665,822.0,114,11251,Digital,Apps,,,Apps
237,887,11,24726,2247.818181818182,1006.0,206,14175,Kultur,Kulturpreise,,,Kulturpreise
238,4,11,3267,297.0,220.0,122,642,Sport,Handball,,,Handball
239,1015,11,23487,2135.181818181818,1786.0,26,8874,Grundeinkommen,,,,Grundeinkommen
240,992,11,14938,1358.0,773.0,199,5562,Partnerschaft BS_BL,,,,Partnerschaft BS_BL
241,417,11,5172,470.1818181818182,292.0,87,1356,Umwelt & Natur,Tierschutz,,,Tierschutz
242,820,11,24704,2245.818181818182,1324.0,603,7182,Rhein,,,,Rhein
243,147,11,15564,1414.909090909091,1370.0,127,4216,_Firmen,Novartis,,,Novartis
244,962,11,29361,2669.181818181818,1304.0,114,9418,Verbrechen,,,,Verbrechen
245,831,11,24207,2200.6363636363635,2175.0,669,4859,Zwischennutzung,,,,Zwischennutzung
246,1010,11,10203,927.5454545454545,240.0,23,7997,_Zeitgeschichte,Panama Papers,,,Panama Papers
247,306,11,8459,769.0,367.0,55,3346,Gesellschaft,Altersvorsorge,,,Altersvorsorge
248,904,11,11298,1027.090909090909,401.0,37,3654,Region,,,,Region
249,246,11,4409,400.8181818181818,411.0,41,1010,_Länder,Europa,Mazedonien,,Mazedonien
250,846,11,10168,924.3636363636364,771.0,37,3386,Kirche,,,,Kirche
251,634,11,55773,5070.272727272727,1230.0,413,18345,Medien,Soziale Medien,,,Soziale Medien
252,587,11,4683,425.72727272727275,272.0,30,1327,Lifestyle,Heimelektronik,,,Heimelektronik
253,878,11,13288,1208.0,1136.0,424,2345,Verkehr,Rheinhafen,,,Rheinhafen
254,281,10,4018,401.8,352.0,33,920,_Länder,Europa,Spanien,,Spanien
255,916,10,7961,796.1,652.5,191,2604,Kultur,Museen,Museumsnacht,,Museumsnacht
256,739,10,36186,3618.6,1848.5,424,14175,Kultur,Kreativwirtschaft,,,Kreativwirtschaft
257,322,10,31365,3136.5,371.0,36,27387,_Länder,Asien,Irak,,Irak
258,924,10,7336,733.6,548.0,277,2751,Lifestyle,Ernährung,Rezept,,Rezept
259,993,10,6003,600.3,365.5,50,2142,_Zeitgeschichte,#ParisAttacks,,,#ParisAttacks
260,622,10,26745,2674.5,2173.0,377,7806,Lifestyle,Mode,,,Mode
261,363,10,22051,2205.1,1028.5,609,6863,_Personen,Eva Herzog,,,Eva Herzog
262,539,10,20802,2080.2,930.0,127,11818,_Textformen & feste Rubriken,Reportagen,,,Reportagen
263,247,10,24318,2431.8,1218.5,57,11818,Bildung,Berufslehre,,,Berufslehre
264,314,9,4538,504.22222222222223,270.0,38,2027,_Länder,Europa,Belgien,,Belgien
265,431,9,3696,410.6666666666667,113.0,27,2839,Sport,Pferdesport,,,Pferdesport
266,518,9,3936,437.3333333333333,124.0,22,2536,_Länder,Südamerika,Brasilien,,Brasilien
267,365,9,12478,1386.4444444444443,1092.0,748,3495,_Personen,Hans-Peter Wessels,,,Hans-Peter Wessels
268,305,9,3389,376.55555555555554,182.0,43,1153,Politik,Gewerkschaften,,,Gewerkschaften
269,508,9,5950,661.1111111111111,566.0,35,1512,Lokales,EuroAirport,,,EuroAirport
270,413,9,4742,526.8888888888889,501.0,170,1070,_Feiertage,Weihnachten,,,Weihnachten
271,369,9,9263,1029.2222222222222,792.0,504,2238,_Personen,Christoph Brutschin,,,Christoph Brutschin
272,218,9,5576,619.5555555555555,435.0,193,1627,_Länder,Asien,China,,China
273,501,9,11172,1241.3333333333333,919.0,110,3689,Gesellschaft,Sexualität,,,Sexualität
274,491,9,40262,4473.555555555556,1921.0,42,25447,_Jahreszeiten,Sommer,,,Sommer
275,217,9,3073,341.44444444444446,272.0,35,1097,Naturereignisse,Erdbeben,,,Erdbeben
276,900,9,15589,1732.111111111111,1582.0,676,2849,Lokales,Stadtentwicklung,Hafenareal,,Hafenareal
277,420,9,18656,2072.8888888888887,418.0,54,14358,_Länder,Europa,Ungarn,,Ungarn
278,842,9,6994,777.1111111111111,412.0,158,2000,Sprache,,,,Sprache
279,1032,9,4764,529.3333333333334,221.0,132,2408,Sport,Schwingen,,,Schwingen
