,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
144,473,5,7213,1442.6,890.0,147,2812,_Firmen,Post,,,Post
145,1022,4,5750,1437.5,1383.0,974,2010,Kultur,Kunst,Kunst am Bau,,Kunst am Bau
146,520,55,78567,1428.490909090909,903.0,30,8027,Lifestyle,Freizeit,,,Freizeit
147,234,70,99898,1427.1142857142856,385.5,33,30947,_Länder,Europa,Frankreich,,Frankreich
148,465,18,25660,1425.5555555555557,596.0,30,7540,Politik,_Themen,Gesundheitswesen,,Gesundheitswesen
149,442,27,38474,1424.962962962963,650.0,31,8874,Wirtschaft,Arbeitsmarkt,,,Arbeitsmarkt
150,147,11,15564,1414.909090909091,1370.0,127,4216,_Firmen,Novartis,,,Novartis
151,406,16,22619,1413.6875,1307.5,385,3103,Sport,Fussball,FC Thun,,FC Thun
152,26,813,1148905,1413.1672816728167,957.0,22,23104,Sport,Fussball,,,Fussball
153,970,22,30977,1408.0454545454545,1500.5,148,2271,Sport,Fussball,FC Lugano,,FC Lugano
154,953,12,16872,1406.0,719.5,61,8301,Gesellschaft,Nachruf,,,Nachruf
155,626,29,40680,1402.7586206896551,409.0,56,8987,Unglücksfälle und Verbrechen,Kriminalität,,,Kriminalität
156,348,35,49020,1400.5714285714287,899.0,82,7387,Bildung,Uni Basel,,,Uni Basel
157,337,8,11188,1398.5,715.5,82,3701,Bildung,Universitäten,,,Universitäten
158,847,19,26483,1393.842105263158,826.0,36,10842,Sicherheit,,,,Sicherheit
159,540,6,8344,1390.6666666666667,994.0,594,3394,Gesellschaft,Psychiatrie,,,Psychiatrie
160,365,9,12478,1386.4444444444443,1092.0,748,3495,_Personen,Hans-Peter Wessels,,,Hans-Peter Wessels
161,328,47,65112,1385.3617021276596,145.0,30,14179,Politik,_Organe,Nationalrat,,Nationalrat
162,154,5,6882,1376.4,1258.0,744,2296,Wirtschaft,KMU,,,KMU
163,410,30,41200,1373.3333333333333,802.5,59,4979,Gesellschaft,Überwachung,,,Überwachung
164,975,165,226061,1370.0666666666666,436.0,22,27387,Politik,_Themen,Migration,Flüchtlinge,Flüchtlinge
165,133,151,206424,1367.046357615894,720.0,38,15648,Kultur,Musik,,,Musik
166,992,11,14938,1358.0,773.0,199,5562,Partnerschaft BS_BL,,,,Partnerschaft BS_BL
