,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
108,727486.0,2016-08-18,news,basel/727486,1515.0,1346.0,00:03:24,551.0,"86,93 %","55,64 %","0,00 CHF",basel
109,726048.0,2016-08-11,news,sport/726048,1478.0,1396.0,00:03:33,485.0,"83,71 %","57,98 %","0,00 CHF",sport
110,725489.0,2016-07-28,news,kultur/725489,1470.0,1356.0,00:03:57,1042.0,"88,39 %","76,53 %","0,00 CHF",kultur
111,726530.0,2016-08-09,news,international/726530,1460.0,1380.0,00:04:18,1029.0,"89,50 %","75,41 %","0,00 CHF",international
112,727955.0,2016-08-24,news,kultur/727955,1454.0,1356.0,00:06:18,972.0,"87,24 %","75,58 %","0,00 CHF",kultur
113,727070.0,2016-08-14,news,kultur/727070,1432.0,1337.0,00:03:54,1183.0,"90,79 %","84,08 %","0,00 CHF",kultur
114,726966.0,2016-08-13,news,kultur/726966,1426.0,1332.0,00:04:03,550.0,"85,09 %","52,52 %","0,00 CHF",kultur
115,728389.0,2016-08-29,news,basel/728389,1376.0,1254.0,00:03:26,893.0,"87,91 %","73,40 %","0,00 CHF",basel
116,727871.0,2016-08-22,newswire,international/727871,1337.0,1223.0,00:02:56,1198.0,"89,65 %","86,76 %","0,00 CHF",international
117,725862.0,2016-08-01,news,basel/725862,1334.0,1237.0,00:02:59,505.0,"87,72 %","53,67 %","0,00 CHF",basel
118,727516.0,2016-08-21,news,international/727516,1319.0,1224.0,00:04:27,958.0,"92,07 %","80,67 %","0,00 CHF",international
119,727372.0,2016-08-22,news,kultur/727372,1319.0,1246.0,00:03:39,918.0,"89,65 %","76,65 %","0,00 CHF",kultur
120,728494.0,2016-08-31,news,basel/728494,1298.0,1170.0,00:03:26,630.0,"85,40 %","64,48 %","0,00 CHF",basel
121,726522.0,2016-08-10,news,kultur/726522,1296.0,1181.0,00:04:19,658.0,"87,84 %","66,36 %","0,00 CHF",kultur
122,726709.0,2016-08-11,news,international/726709,1294.0,1190.0,00:05:33,750.0,"86,13 %","67,70 %","0,00 CHF",international
123,728054.0,2016-08-25,news,kultur/728054,1277.0,1188.0,00:05:10,909.0,"89,00 %","78,23 %","0,00 CHF",kultur
