,level1,count,pageviews,average
317,Anita Fetz,5,392,78.4
318,Brand,5,8131,1626.2
319,Maya Graf,5,496,99.2
320,Kanton Aargau,5,327,65.4
321,Kanton Wallis,5,770,154.0
322,Suizid,5,2616,523.2
323,Rudolf Rechsteiner,5,7739,1547.8
324,Angela Merkel,5,4392,878.4
325,Gentech,5,425,85.0
326,Honoraraffäre,5,316,63.2
327,Didier Burkhalter,5,162,32.4
328,Segeln,5,813,162.6
329,Wochenthema Frankenstärke,4,8399,2099.75
330,Snowboard,4,692,173.0
331,Kanton Tessin,4,256,64.0
332,Bank Sarasin,4,1339,334.75
333,Doping,4,434,108.5
334,Eveline Widmer-Schlumpf,4,228,57.0
335,Elisabeth Schneider-Schneiter,4,233,58.25
336,Australien/Ozeanien,4,316,79.0
337,Zirkus,4,4601,1150.25
338,Ivan Ergić,4,114,28.5
339,Philipp Hildebrand,4,408,102.0
340,Thomas de Courten,4,150,37.5
341,Hazel Unchained,4,1539,384.75
342,Orientierungslauf,4,181,45.25
343,American Football,4,1619,404.75
344,Barack Obama,4,4073,1018.25
345,Unihockey,4,1749,437.25
346,Familienfilm Film,4,1007,251.75
347,Fantasy Film,4,1082,270.5
348,Schweizerhalle-Brand,4,5622,1405.5
349,Fechten,4,383,95.75
350,Sandoz,4,6517,1629.25
351,Weltraum,4,144,36.0
352,Werkraum Schlotterbeck,4,1225,306.25
353,Rugby,4,299,74.75
354,Adrian Ballmer,3,154,51.333333333333336
355,Adventskalender,3,853,284.3333333333333
356,Crime Film,3,1006,335.3333333333333
357,Abenteuer Film,3,617,205.66666666666666
358,Überzeit-Analyse,3,4987,1662.3333333333333
359,Küche: Vegetarisch,3,429,143.0
360,Herausgefordert im 2013,3,189,63.0
361,Kanton Zug,3,220,73.33333333333333
362,Peter Malama,3,235,78.33333333333333
363,Kurzfilm Film,3,253,84.33333333333333
364,Romanze Film,3,532,177.33333333333334
365,Küche: Gut bürgerlich,3,2083,694.3333333333334
366,Kanton St. Gallen,3,888,296.0
367,Küche: Kuchen und Gebäck,3,2451,817.0
368,Western Film,3,226,75.33333333333333
369,Eiskunstlauf,3,273,91.0
370,Glencore,3,132,44.0
371,Film-Noir Film,3,147,49.0
372,Malenas Welt,3,93,31.0
373,Fukushima,3,247,82.33333333333333
374,Videointerviews Regierungskandidaten,3,286,95.33333333333333
375,Sunrise,2,250,125.0
376,Nicolas Sarkozy,2,2934,1467.0
377,Toni Brunner,2,798,399.0
378,Silvia Schenker,2,222,111.0
379,Mystery Film,2,678,339.0
380,50 Jahre Frauenstimmrecht,2,3760,1880.0
381,UBS,2,1392,696.0
382,Simonetta Sommaruga,2,1172,586.0
383,Paulo Sousa,2,53,26.5
384,Küche: Regional,2,1033,516.5
385,Markus Lehmann,2,146,73.0
386,Nationalsozialismus,2,5746,2873.0
387,Michéline Calmy-Rey,2,51,25.5
388,Musical Film,2,343,171.5
389,Kanton Uri,2,48,24.0
390,Völkermord,2,154,77.0
391,Kanton Glarus,2,71,35.5
392,Elia Rediger,2,88,44.0
393,Donald Trump,2,1150,575.0
394,Heiko Vogel,2,61,30.5
395,Herbst,2,766,383.0
396,Kanton Appenzell Ausserrhoden,2,153,76.5
397,Dario Cologna,2,52,26.0
398,Wir fahren Tram,2,66,33.0
399,Schloss-Initiative,2,85,42.5
400,Kanton Freiburg,2,301,150.5
401,Kanton Luzern,2,269,134.5
402,Kanton Neuenburg,2,160,80.0
403,Kanton Schaffhausen,2,1210,605.0
404,Peter Zwick,2,161,80.5
405,Claude Janiak,2,907,453.5
406,Clariant,2,122,61.0
407,Ciba,2,128,64.0
408,Motorsport,2,1914,957.0
409,Ambiente: Rustikal,1,397,397.0
410,Ambiente: Trendy,1,674,674.0
411,Anderer Film,1,48,48.0
412,Urs Schwaller,1,22,22.0
413,Ambiente: Gourmet,1,299,299.0
414,Ambiente: Elegant,1,109,109.0
415,Ambiente: American Restaurant,1,2448,2448.0
416,Susanne Leutenegger Oberholzer,1,57,57.0
417,Adult Film,1,99,99.0
418,Turnen,1,2760,2760.0
419,Unabhängig mobil: Catch a car,1,23,23.0
420,WEF,1,36,36.0
421,WOZ,1,528,528.0
422,Wikileaks,1,68,68.0
423,Überschwemmungen,1,22,22.0
424,Sam Keller,1,385,385.0
425,EHC Basel,1,398,398.0
426,Ricola,1,41,41.0
427,Küche: Marokkanisch,1,972,972.0
428,Formel 1,1,25,25.0
429,Daniela Schneeberger,1,23,23.0
430,Cédric Wermuth,1,43,43.0
431,Kanton Appenzell Innerrhoden,1,42,42.0
432,Kanton Thurgau,1,43,43.0
433,Kanton Waadt,1,66,66.0
434,Christian Levrat,1,466,466.0
435,Caspar Baader,1,23,23.0
436,Kimstedt liest,1,22,22.0
437,Küche: Andere,1,239,239.0
438,Küche: Französisch,1,674,674.0
439,Küche: Hamburger,1,2264,2264.0
440,Billard,1,21,21.0
441,Radio Basel,1,106,106.0
442,Küche: Mexikanisch,1,2448,2448.0
443,Küche: Pizzeria,1,3175,3175.0
444,Küche: Portugiesisch,1,712,712.0
445,Beat Jans,1,1351,1351.0
446,Küche: Snacks,1,32,32.0
447,Küche: Sushi,1,889,889.0
448,Küche: Thailändisch,1,388,388.0
449,Movie Veranstaltung,1,73,73.0
450,Occupy-Bewegung,1,37,37.0
451,Partner: Buy-Local,1,143,143.0
452,Physik,1,218,218.0
453,Pierre-Yves Maillard,1,27,27.0
454,Kriegsfilm Film,1,4712,4712.0
