,topic_id,count,pageviews,average,level0,level1,level2,level3,title
199,343,39,16169,414.5897435897436,Gesellschaft,Psychologie,,,Psychologie
200,964,38,47427,1248.078947368421,Kultur,Messen,Kunstmessen,,Kunstmessen
201,365,38,14947,393.3421052631579,_Personen,Hans-Peter Wessels,,,Hans-Peter Wessels
202,976,38,46014,1210.8947368421052,Kultur,Jugendkultur,,,Jugendkultur
203,820,38,29624,779.578947368421,Rhein,,,,Rhein
204,178,38,23011,605.5526315789474,Politik,_Parteien,,,_Parteien
205,932,38,27623,726.921052631579,Politik,Finanzpolitik,,,Finanzpolitik
206,364,37,31033,838.7297297297297,_Personen,Guy Morin,,,Guy Morin
207,501,37,18859,509.7027027027027,Gesellschaft,Sexualität,,,Sexualität
208,417,37,8993,243.05405405405406,Umwelt & Natur,Tierschutz,,,Tierschutz
209,1018,37,17881,483.27027027027026,Sport,Olympische Spiele,Olympische Spiele 2016,,Olympische Spiele 2016
210,546,37,14433,390.0810810810811,Kultur,Comic,,,Comic
211,466,36,42003,1166.75,Politik,_Themen,Sozialwerke,,Sozialwerke
212,618,36,19449,540.25,Politik,_Themen,Krankenkassen,,Krankenkassen
213,863,36,17938,498.27777777777777,Kultur,Performances,,,Performances
214,952,36,2202,61.166666666666664,Politik,Abstimmungen & Wahlen,Eidgenössische Wahlen 2015,,Eidgenössische Wahlen 2015
215,1003,35,106660,3047.4285714285716,Politik,Abstimmungen & Wahlen,Abstimmungen 28. Februar 2016,Durchsetzungsinitiative,Durchsetzungsinitiative
216,800,35,9954,284.4,Sport,Olympische Spiele,,,Olympische Spiele
217,540,35,11424,326.4,Gesellschaft,Psychiatrie,,,Psychiatrie
218,544,35,16317,466.2,Politik,_Themen,Mieten,,Mieten
219,4,34,4673,137.44117647058823,Sport,Handball,,,Handball
220,505,34,12687,373.1470588235294,Verkehr,Flugverkehr,,,Flugverkehr
221,894,34,48990,1440.8823529411766,Kultur,Museen,Kunstmuseum,Kunstmuseum Erweiterungsbau,Kunstmuseum Erweiterungsbau
222,816,34,3769,110.8529411764706,_Textformen & feste Rubriken,Debatte,,,Debatte
223,564,34,11669,343.20588235294116,Energie,Erneuerbare Energien,,,Erneuerbare Energien
224,871,34,10309,303.20588235294116,Lokales,Klybeckquai,,,Klybeckquai
225,491,34,64472,1896.235294117647,_Jahreszeiten,Sommer,,,Sommer
226,924,34,14867,437.2647058823529,Lifestyle,Ernährung,Rezept,,Rezept
227,961,34,12191,358.55882352941177,Internet,,,,Internet
228,931,33,27229,825.1212121212121,Verkehr,Velo,,,Velo
229,647,33,10739,325.42424242424244,Strassen,,,,Strassen
230,809,33,13073,396.1515151515151,Politik,Abstimmungen & Wahlen,Einwanderungsinitiativen,,Einwanderungsinitiativen
231,825,32,10680,333.75,Baudepartement,,,,Baudepartement
232,631,32,3054,95.4375,_Zeitgeschichte,Wahlen BS 2012,,,Wahlen BS 2012
233,496,32,11669,364.65625,Verkehr,Schifffahrt,,,Schifffahrt
234,210,32,16073,502.28125,Sport,Kampfsport,,,Kampfsport
235,351,32,33150,1035.9375,Digital,Facebook,,,Facebook
236,789,31,44932,1449.4193548387098,Wirtschaft,Immobilien,,,Immobilien
237,368,31,14260,460.0,_Personen,Christoph Eymann,,,Christoph Eymann
238,221,31,10204,329.16129032258067,_Länder,Naher Osten,,,Naher Osten
239,943,31,15006,484.06451612903226,Kultur,Kulturgeschichte,,,Kulturgeschichte
240,185,31,25910,835.8064516129032,Politik,_Parteien,CVP,,CVP
241,413,31,8737,281.83870967741933,_Feiertage,Weihnachten,,,Weihnachten
242,875,30,32044,1068.1333333333334,Alois K. Hürlimann,,,,Alois K. Hürlimann
243,958,30,4961,165.36666666666667,Politik,Finanzpolitik,Finanzen BL,,Finanzen BL
244,52,30,14828,494.26666666666665,Kino,Dokumentation Film,,,Dokumentation Film
245,405,30,40697,1356.5666666666666,Sport,Fussball,FC Luzern,,FC Luzern
246,832,29,11140,384.13793103448273,Wissen,,,,Wissen
247,602,29,1576,54.3448275862069,_Textformen & feste Rubriken,Fotoarchiv Kurt Wyss,,,Fotoarchiv Kurt Wyss
248,359,29,13369,461.0,Medien,SRF,,,SRF
249,904,29,14053,484.58620689655174,Region,,,,Region
250,575,29,12998,448.2068965517241,Naturereignisse,,,,Naturereignisse
251,657,29,52377,1806.103448275862,Restaurant: Küche,,,,Restaurant: Küche
252,760,29,23583,813.2068965517242,Gesellschaft,Prostitution,,,Prostitution
253,876,28,7367,263.10714285714283,Kultur,Kunst,Kunst am Wegrand,,Kunst am Wegrand
254,873,28,33188,1185.2857142857142,Digital,Apps,,,Apps
255,453,28,10938,390.64285714285717,Kultur,Oper,,,Oper
256,920,28,4421,157.89285714285714,Lokales,Fasnacht,Basler Fasnacht 2015,,Basler Fasnacht 2015
257,1046,28,40937,1462.0357142857142,_Zeitgeschichte,5 Jahre TagesWoche,,,5 Jahre TagesWoche
258,1008,28,44677,1595.607142857143,Wirtschaft,Steuern,Unternehmenssteuer-Reform III,,Unternehmenssteuer-Reform III
259,921,28,15876,567.0,Wochenthema,,,,Wochenthema
260,886,27,7849,290.7037037037037,_Quartiere,Dreispitz,,,Dreispitz
261,1023,27,28129,1041.8148148148148,Politik,Europäische Union,Brexit,,Brexit
