,url,share_count
192,http://www.tageswoche.ch/de/2016_25/basel/722365/es-belastet-mich-wenn-die-kinder-zum-streitobjekt-werden-interview-mit-einer-konfliktvermittlerin.htm,24
193,http://www.tageswoche.ch/de/2016_25/leben/722369/die-royalen-parfums-im-duftschloss-von-versailles.htm,0
194,http://www.tageswoche.ch/de/2016_25/basel/722384/messe-muss-nur-haelfte-der-sicherheitskosten-bezahlen.htm,17
195,http://www.tageswoche.ch/de/2016_24/kultur/722387/wie-lange-dauert-eigentlich-die-art-und-warum-heisst-die-voltashow-noch-so.htm,28
196,http://www.tageswoche.ch/de/2016_25/leben/722389/auf-der-jagd-nach-einer-guten-mahlzeit-in-porto.htm,23
197,http://www.tageswoche.ch/de/2016_25/international/722395/penalty-fuer-le-pen.htm,1
198,http://www.tageswoche.ch/de/2016_25/basel/722396/wohnungsknappheit-man-versteckt-sich-hinter-ausreden.htm,65
199,http://www.tageswoche.ch/de/2016_25/basel/722403/mitte-links-mehrheit-fuer-kasernenumbau.htm,3
200,http://www.tageswoche.ch/de/2016_25/basel/722406/das-clara-brocki-bangt-um-seine-zukunft.htm,9
201,http://www.tageswoche.ch/de/2016_25/sport/722419/michael-langs-kurzarbeit-und-eine-ketzerische-idee.htm,6
202,http://www.tageswoche.ch/de/2016_25/kultur/722454/kunst-kommt-von-kunst-aber-wo-faengt-das-plagiat-an.htm,33
203,http://www.tageswoche.ch/de/2016_25/sport/722455/eine-neue-einlaufmusik-und-mehr-kompetenz-an-die-mitglieder.htm,27
204,http://www.tageswoche.ch/de/2016_25/kultur/722474/art-besuch-mit-banause-marius-die-zweite-runde.htm,103
205,http://www.tageswoche.ch/de/2016_25/sport/722475/heusler-und-co-geben-den-fcb-mitgliedern-100-prozent-entscheidungsgewalt-zurueck.htm,38
206,http://www.tageswoche.ch/de/2016_25/kultur/722501/eine-kleine-trendwende-bei-der-art-basel-ist-spuerbar.htm,33
207,http://www.tageswoche.ch/de/2016_25/basel/722512/baselbieter-polizei-stoppt-pegida-demo-in-muttenz.htm,156
208,http://www.tageswoche.ch/de/2016_25/sport/722538/das-letzte-hemd-fuer-diesen-punkt-die-bilder-aus-lille.htm,6
209,http://www.tageswoche.ch/de/2016_25/sport/722542/petkovic-wir-muessen-noch-hungriger-sein-und-noch-mehr-wollen.htm,6
